Date,Location,Aboard,Fatalities
1939-05-02,"Near Marrakech, Morocco",9,9
1939-05-08,"Guayaquil, Ecuador",1,1
1939-06-10,"Vlissingen, The Netherlands",3,3
1939-07-20,"Konstanz, Switzerland",6,6
1939-08-04,"Barcelona, Spain",7,7
1939-08-13,"Rio de Janerio, Brazil",16,14
1939-08-15,"Off Copenhagen, Denmark",6,5
1939-08-28,"Lahore, India",2,2
1939-08-30,"Hannover, Germany",7,7
1939-09-26,North Sea,,1
1939-11-20,"Gosport, England",2,2
1939-12-18,South of Gibraltar,10,10
1939-12-21,Off Malta-Luqa,11,5
1939-12-24,"Mogador, Morocco",7,7
1940-01-15,"Denpasar, Indonesia",9,8
1940-03-01,Gulf of Oman,8,8
1940-04-22,"Near Loch Lomond, Scotland",3,3
1940-06-02,"El Segundo, California",5,5
1940-06-14,"Off Prangli Island, Gulf of Finland, Estonia",9,9
1940-06-20,"Near Ouistreham, France",1,1
1940-07-07,Gulf of Tonkin,,
1940-08-13,"Near Canberra, Australia",10,10
1940-08-23,"Cluj, Romania",18,14
1940-08-31,"Near Lovettsville, Virginia",25,25
1940-10-29,"Near Changyi, China",14,9
1940-10-29,"Berlin, Germany",15,2
1940-11-04,"Near Centerville, Utah",10,10
1940-11-08,"Brauna, Germany",29,29
1940-11-09,"Rio de Janeiro, Brazil",18,18
1940-11-27,Mediterranean Sea,6,6
1940-12-04,"Chicago, Illinois",16,10
1941-01-15,Off South Africa,10,10
1941-01-18,"Near Nagy-Varad, Hungary",12,12
1941-01-20,"Near Kian, China",6,5
1941-01-23,"Near Robertson, Missouri",13,2
1941-02-06,"Armstrong, ON, Canada",12,12
1941-02-26,"Atlanta, Georgia",16,9
1941-03-01,"Trontheim, Norway",12,3
1941-03-28,"Elands Bay, South Africa",10,10
1941-06-19,"Bucharest, Romania",15,15
1941-06-21,Sea of Japan,18,18
1941-08-10,"Arran, Scotland",22,22
1941-08-14,"Ayr, Scotland",22,22
1941-08-18,"Near Sao Paulo, Brazil",12,8
1941-09-01,"Bollemont, France",17,13
1941-09-01,"Campbeltown, Argyll, Scotland",10,10
1941-10-03,"San Juan, Puerto Rico",15,2
1941-10-28,,13,13
1941-10-30,"Near Moorhead, Minnesota",15,14
1941-10-30,"St. Thomas, Ontario, Canada",20,20
1941-12-11,"Miami, Florida",3,3
1942-01-16,"Near Las Vegas, Nevada",22,22
1942-01-20,"Manado, Indonesia",11,11
1942-01-24,"Near Samarinda, Borneo",,
1942-01-26,"Kupang, Timor",,
1942-01-30,"Near Kupang, Timor",18,13
1942-02-14,,,
1942-02-15,"English Channel, near Plymouth, England",9,9
1942-02-20,"Off Belmont, Brisbane, Australia",9,9
1942-02-28,Indian Ocean,20,20
1942-03-03,"Off Broome, Australia",33,19
1942-03-03,"Wyndham, Australia",12,8
1943-08-27,North Sea,7,7
1942-03-14,"Kunming, China",17,13
1942-04-21,"Pine Creek, Australia",12,12
1942-05-01,"Salt Lake City, Utah",17,17
1942-05-12,"Miles City, Montana",14,3
1942-07-01,"Near Premier, West Virginia",21,21
1942-07-07,"Off Broken Head, Australia",10,10
1942-07-20,"Llanfair, England",13,13
1942-08-13,"Algiers, Algeria",,4
1942-08-21,,4,4
1942-08-22,Trinidad,13,13
1942-08-23,"Invergordon, England",14,13
1942-08-25,"Near Dunbeath, Scotland",14,13
1942-09-27,"Ameur el Ain, Algeria",25,25
1942-10-01,"Kunming, China",,
1942-10-01,"Near Coamo, Puerto Rico",22,22
1942-10-03,"Botwood, Newfoundland",37,11
1942-10-22,,17,17
1942-10-23,"Palm Springs, California",13,12
1942-10-30,Norway,10,10
1942-12-15,"Fairfield, Utah",19,17
1942-12-19,"Wien, Vienna",16,2
1943-01-09,"River Tagus, Lisbon, Portugal",13,13
1943-01-15,"Near Paramarino, Dutch Guyana",35,35
1943-01-18,"Off the Brazilian coast,  AtlantiOcean",26,26
1943-01-21,"Ukiah, California",19,19
1943-01-22,"Near Chaparra, Peru",15,14
1943-02-09,"Near Gander, Newfoundland",21,19
1943-02-18,"Seattle, Washington",10,10
1943-02-22,"Lisbon, Portugal",39,25
1943-03-11,"Luishui, China",3,3
1943-03-13,"Himalaya, China",3,3
1943-03-27,"Archerfield Aerodrome, Queensland, Australia",24,24
1943-04-22,"Off Port Moresby, New Guinea",13,13
1943-06-01,Off the coast of France,17,17
1943-06-07,"Red Springs, North Carolina",20,20
1943-06-14,"Near Mackay, OLD, Australia",41,40
1943-06-16,"Khartoum, Sudan",17,17
1943-06-30,"Khartoum, Sudan",16,16
1943-07-04,Gibraltar,13,12
1943-07-28,"Brandon Head, Ireland",25,12
1943-07-28,"Trammel, Kentucky",22,20
1943-08-01,"Ploesti, Romania",10,10
1943-08-07,"Off Townsville, Australia",27,27
1943-08-11,"Fort Hertz, China",3,3
1943-08-27,"Rio de Janeiro, Brazil",21,18
1943-09-10,"Off Galveston, Texas",22,22
1943-09-20,"Near Maxton, North Carolina",25,25
1943-09-22,"Near Calcutta, India",20,20
1943-10-15,"Near Centerville, Tennessee",15,15
1943-10-19,"St. Donat, Quebec, Canada",24,24
1943-10-22,"Hallo, Sweden",15,13
1943-10-22,"Columbus, Georgia",20,20
1943-11-08,"Poona, India",1,1
1943-11-19,"Kunming, China",3,2
1943-11-19,"Kunming, China",3,3
1943-11-26,"Port Moresby, New Guinea",15,15
1943-12-18,"Suifu, China",3,3
1943-12-19,"Canal Creek, Australia",31,31
1943-12-29,"Lakeside, Utah",25,25
1944-01-15,"Belgrad, Yugoslavia",5,5
1944-02-10,"Memphis, Tennessee",24,24
1944-02-20,China,2,2
1944-02-21,"Eubeoa, Greece",16,16
1944-03-22,New Guinea,21,21
1944-04-06,"Near Nome, Alaska",6,6
1944-04-17,"Belgrad, Yugoslavia",7,5
1944-04-21,"Frederikstad, Norway",20,9
1944-04-25,"Montreal, Canada",16,16
1944-05-26,"Between Calcutta to Dinjan, China",12,12
1944-05-27,"Off Calcutta, India",14,14
1944-06-06,"Carentan, France",22,22
1944-06-06,"Flamanville, France",22,22
1944-06-06,"Barneville, France",22,22
1944-06-08,"Kunming, China",6,6
1944-06-18,"Kweilin, China",4,2
1944-06-20,"Porto Alegre, Brazil",10,10
1944-07-26,North AtlantiOcean,26,26
1944-07-27,"Port Logan, Scotland",22,22
1944-07-31,"Funafuti, Gilbert Islands, PacifiOcean",24,22
1944-08-03,"Naper, Nebraska",28,28
1944-08-08,"Off Antilla, Cuba",31,17
1944-08-12,"Blythburgh, England",2,2
1944-08-23,"Freckelton, England",3,3
1944-08-28,"Preswick, Scotland",20,20
1944-08-30,"Sao Paulo, Brazil",16,16
1944-09-02,"Belgrad, Yugoslavia",5,5
1944-09-07,"Near Mossman, Queensland, Australia",20,20
1944-09-18,Alaska,19,19
1944-09-21,"Rio Doce, Brazil",17,17
1944-09-27,"Near Dijon, France",9,9
1945-06-30,Texas,12,12
1944-10-07,"Near Sadiya, India",3,3
1944-10-10,Bosnia,7,7
1944-10-11,"Sydney, Australia",30,1
1944-10-16,"Telemark, Norway",15,15
1944-10-17,Hungary,9,1
1944-10-18,"Birkenhead, England",24,24
1944-11-04,"Hanford, California",24,24
1944-11-09,"Seljord, Norway",,
1944-11-19,"Lewes, England",30,25
1944-11-29,"Tegucigalpa, Nicaragua",16,16
1944-11-29,Kenya,15,15
1944-11-29,"Malmo, Sweden",10,10
1944-11-30,"Dinjan, China",3,3
1944-12-01,"Van Nuys, California",17,9
1944-12-03,AtlantiOcean,5,5
1944-12-15,English Channel,3,3
1945-01-06,"Near Dinjan, India",4,4
1945-01-08,"Port of Spain, Trinidad",30,23
1945-01-10,"Burbank, California",24,24
1945-01-14,China,6,4
1945-01-16,"Near Kunming, China",3,3
1945-01-23,"Timor, Indonesia",11,11
1945-01-31,"Redesdale, Australia",10,10
1945-02-02,"Near Montieri, Italy",26,23
1945-02-06,"Nunters Burgh, England",23,23
1945-02-13,"Off Oakland, California",24,24
1945-02-15,"Lagoa Santa, Brazil",11,11
1945-02-23,"Casablanca, Morocco",30,13
1945-02-23,"Marion, Virginia",22,17
1945-03-27,"Coral Sea, off Australia",24,24
1945-04-09,"Kunming, China",3,3
1945-04-14,"Morgantown, West Virginia",20,20
1945-04-19,"Near Perth, Australia",13,13
1945-04-20,,18,18
1945-04-20,"Sweetwater, Texas",25,25
1945-04-21,"Munchen, Germany",21,21
1945-04-23,"North Barrule, Isle of Man, England",31,31
1945-04-27,Washington D.C.,13,6
1945-05-05,"Manus Island, New Guinea",21,21
1945-05-06,"Hindhead, England",30,30
1945-05-09,"Roye, France",31,31
1945-05-13,"Netherlands, New Guinea",23,20
1945-05-30,"Off Drewin, Ivory Coast",21,21
1945-06-15,China,3,3
1945-06-24,"Gealdton, Australia",11,2
1945-06-25,"Swanage, England",27,27
1945-06-29,"Bangalore, India",2,2
1945-07-04,North AtlantiOcean,15,15
1945-07-11,"Near Kisumu, Kenya",28,28
1945-07-12,"Near Florence, South Carolina",10,3
1945-07-28,"New York, New York",3,3
1945-08-01,"Near San Luis Potosi, Mexico",12,12
1945-08-03,"Fort de France, Martinique",14,4
1945-08-11,"Ixtaccihuati, Mexico",16,16
1945-09-07,"Florence, South Carolina",22,22
1945-09-11,"Near Milne Bay, New Guinea",11,11
1945-09-15,"Near Kansas, Missouri",24,23
1945-09-18,"Puncak Jaya, Papua New Guinea",29,29
1945-09-28,"Near Chihkiang, China",20,20
1945-10-05,"Lakeland, Florida",15,2
1945-10-05,"Elvetham, England",23,23
1945-10-07,"Rennes, France",26,26
1945-10-13,"Melsbroek, Belgium",31,31
1945-10-16,"Near Peking, China",59,59
1945-10-20,"Timor Sea, AtlantiOcean",25,25
1945-10-20,"Between Shanghi and Canton, China",31,31
1945-10-23,"Near Chiringa, India",14,14
1945-10-24,"Tarapoto, Peru",5,5
1945-10-30,"Chihchiang, China",50,45
1945-11-01,"Herrenalb, Germany",30,26
1945-11-03,"Near Chuka, India",44,44
1945-11-08,"Off Corpus Christi, Texas",27,22
1945-11-09,"Near Boccadi, Italy",24,24
1945-11-11,"Near Picinisco, Italy",20,20
1945-11-11,"Near Castel, Libya",29,29
1945-11-11,Himalayas,44,44
1945-11-15,"New Britain Island, New Guinea",28,28
1945-11-22,"White's Farm, England",27,27
1945-12-03,"Near Rochefort , France",28,28
1945-12-05,Off the Florida coast,14,14
1945-12-08,"Near Billings, Montana",21,17
1945-12-18,"Voksenkollen, Norway",17,15
1945-12-25,"Bangui, French Equatorial Africa",8,8
1945-12-30,"New York City, New York",12,1
1946-01-06,"Birmingham, Alabama",11,3
1946-01-09,"Changchun, China",18,18
1946-01-15,"Marseilles, France",25,23
1946-01-18,"Cheshire, Connecticut",17,17
1946-01-19,"Crowsnest Pass, Alberta, Canada",7,7
1946-01-30,"Near Le Mans, France",11,11
1946-01-31,"Mt. Elk, Wyoming",21,21
1946-02-05,"Negros, Philippines",20,20
1946-02-21,"Charlottetown, PE, Canada",14,1
1946-03-03,"Live Oak Springs, California",27,27
1946-03-05,"Near Prague, Czechoslovakia",14,10
1946-03-10,"Off Hobart, Tasmania",25,25
1946-03-17,"Near Nanking, China",20,20
1946-03-18,"Between Chungking and Shanghai, China",,
1946-03-19,"Hobart Mills, California",26,26
1946-03-23,"Ceylon, Cocos Islands, Indian Ocean",10,10
1946-04-05,"Rabat, Malta",4,4
1946-04-08,"Near Shensi, China",14,14
1946-04-22,"Liberiad, Nicaragua",21,19
1946-04-30,"Pindi-Khut ,India",12,12
1946-05-10,"Munson, Florida",28,28
1946-05-16,"Richmond, Virginia",27,27
1946-05-22,"Oslo, Norway",13,13
1946-06-01,"Off Amalfi, Italy",38,30
1946-06-09,"Near Abeokuta, Nigeria",18,18
1946-06-09,"Taboga Island, Panama",23,23
1946-06-29,Off Malaya,18,18
1946-06-29,"Pau, France",3,2
1946-07-09,"Holyoke, Massachusetts",25,25
1946-07-11,"Reading, Pennsylvania",6,5
1946-07-13,"Tsinan, China",49,13
1946-07-17,"Cuenca, Ecuador",30,30
1946-07-18,"Goodland, Kansas",13,13
1946-07-20,Off the Panama coast,20,20
1946-07-25,"Bassein, Burma",22,22
1946-08-07,"Oslo, Norway",16,3
1946-08-09,"Lakehurst, New Jersey",6,4
1946-08-14,"Malta-Luqa, Malta",5,1
1946-08-20,"Rouen, France",9,8
1946-08-21,"Moline, Illinois",25,2
1946-08-24,"Cairo, Egypt",9,6
1946-09-03,"Holtug, Denmark",22,22
1946-09-04,"Le Bourget, France",26,20
1946-09-05,"Elko, Nevada",22,21
1946-09-06,"Bathurst, Gambia",24,24
1946-09-07,"Nome, Alaska",4,4
1946-09-15,"Estevan, Saskatchewan, Canada",21,21
1946-09-17,"Brussels, Belgium",7,1
1947-01-22,"Puesto Araujo, Colombia",17,17
1946-09-18,"Near Gander, Newfoundland",44,27
1946-09-19,"Near Tripoli, Libya",25,25
1946-09-20,"Lochi Mountain, China",31,31
1946-09-25,Near Hong Kong International Airport,19,19
1946-09-27,"Rio Doce, Brazil",25,25
1946-10-03,"Stephenville, Newfoundland",39,39
1946-10-06,"Off Penang, Malaya",21,21
1946-10-07,"Apeldoorn, The Netherlands",1,1
1946-10-08,"Cheyenne, Wyoming",41,2
1946-10-10,"Near Sefrou, Morocco",16,16
1946-10-17,"Laramie, Wyoming",13,13
1946-10-17,"Near Chitral, India",11,11
1946-10-23,"Gebel Kalamoun, Egypt",24,1
1946-11-01,"St Leger-la-Montagne, France",27,23
1946-11-11,"Cleveland, Ohio",20,2
1946-11-13,"Lebec, California",11,11
1946-11-13,"Near Cofre de Perote, Mexico",15,15
1946-11-14,"Amsterdam, Netherlands",26,26
1946-11-16,North PacifiOcean,23,23
1946-11-26,"San Jose, Costa Rica",22,22
1946-11-30,"El Palomar, Argentina",18,5
1946-12-04,"Meshed, Iran",24,24
1946-12-10,"Toledo, Washington",32,32
1946-12-10,"Near Osaka, Japan",24,24
1946-12-14,"Mt. Banahaur, Philippines",14,12
1946-12-17,"Caribbean, AtlantiOcean",7,7
1946-12-23,"Near Rio de Janeiro, Brazil",21,21
1946-12-24,"Near San Diego, California",12,12
1946-12-25,"Lunghwa, Shanghai, China",,87
1946-12-28,"Michigan City, Indiana",21,2
1946-12-28,"Walshville, Illinois",2,2
1946-12-28,"Near Shannon, Ireland",23,13
1947-01-03,"Sao Paulo, Brazil",14,11
1947-01-05,"Carmel, New Jersey",23,3
1947-01-05,"Tsingtao, China",38,38
1947-01-11,"Off Laoag, China",42,7
1947-01-11,"Near Lympne, England",16,8
1947-01-12,"Near Galax, Virginia",19,18
1947-01-14,"Near Puebla, Mexico",21,21
1947-01-25,"Chongqing, China",19,19
1947-01-25,"Croydon, Surrey, England",23,12
1947-01-25,Hong Kong,4,4
1947-01-26,"Copenhagen, Denmark",22,22
1947-01-28,"Near Hankow, China",26,25
1947-02-01,"Near Lisbon, Portugal",16,15
1947-02-05,"Harrington, Delaware",3,1
1947-02-06,"Pedro Bernardo, Spain",12,12
1947-02-14,"Denver, Colorado",2,2
1947-02-15,"Off Terracina, Italy",16,16
1947-02-15,"Near Bogota, Colombia",53,53
1947-02-21,"Chungking, China",21,21
1947-02-26,"China Sea, PacifiOcean",12,12
1947-03-08,"Cordillera, Colombia",9,9
1947-03-08,"L'isola di Ischia, Italy",13,13
1947-03-14,"Mt. Moucherolles, France",23,23
1947-03-17,"Near Medellin, Colombia",8,8
1947-03-18,"Negombo, Sri Lanka",15,11
1947-04-08,"Near Caracas, Venezuela",27,27
1947-04-13,"Off Dakar, Senegal",15,6
1947-04-22,"Columbus, Georgia",10,10
1949-02-24,"Near Cuzco, Peru",26,22
1947-04-28,"Near Vancouver, British Columbia, Canada",15,15
1947-05-11,"Delaware Bay, New Jersey",4,4
1947-05-29,"Hjedinsfjordur, Iceland",25,25
1947-05-29,"Atsugi, Japan",40,40
1947-05-29,"La Guardia Airport, Queens, New York",48,43
1947-05-30,"Port Deposit, Maryland",53,53
1947-06-04,"Near Gemenos, France",2,2
1947-06-11,"Natal, Argentina",18,5
1947-06-13,"Leesburg, Virginia",50,50
1947-06-19,"Al Mayadin, Syria",36,14
1947-07-01,"Near Eaeka, French Cameroons",13,13
1947-07-13,"Melbourne, Florida",36,14
1947-07-15,"Vichy ,France",19,1
1947-07-16,"Az-Zubair, Iran",6,6
1947-07-25,"Moron, Argentina",6,2
1947-07-31,"Near Yumen, China",26,26
1947-08-02,"Andes, Argentina",11,11
1947-08-06,North PacifiOcean,20,20
1947-08-08,"New York, New York",5,3
1947-08-09,"Malmo, Sweden",5,1
1947-08-13,"Bucharest, Romania",3,3
1947-08-21,"Hanksville, Utah",3,3
1947-08-23,"Bahrain, Persian Gulf",26,10
1947-08-28,"Harsiad, Norway",35,35
1947-10-08,"Near El Paso, Texas",54,0
1947-10-16,"Sylva, North Carolina",3,3
1947-10-16,"Off Cartegena, Spain",43,41
1947-10-24,"Bryce Canyon, Utah",53,53
1947-10-26,"Annette Island, Alaska",18,18
1947-10-26,"Near Mt. Hymettus, Greece",44,44
1947-10-31,"Srinagar, India",25,25
1947-11-02,"Off Barrio Rizal, Philippines",5,5
1947-11-11,"Gallup, New Mexico",25,0
1947-11-13,"Near Bouchox, France",2,2
1947-11-18,"Ravello, Italy",25,20
1947-11-18,"Newcastle, Delaware",5,5
1947-11-21,"Phouznicie, Romania",26,13
1947-11-27,"Yakutat, Alaska",13,13
1947-11-27,"Montenegrin Mountains, Yugoslavia",22,22
1947-11-27,,3,2
1947-11-28,"Near Trappa, Italy",20,20
1947-11-30,"Seattle, Washington",28,8
1947-12-10,"Near Goose Bay, Labrador",29,23
1947-12-11,"Near Memphis, Tennessee",20,20
1947-12-23,"Kunming, China",30,25
1947-12-27,"Korangi Creek, India",23,23
1947-12-28,"Leon, Mexico",9,5
1948-01-06,"Paris, France",16,16
1948-01-06,"Ruislip, England",18,1
1948-01-07,"Near Savannah, Georgia",27,18
1948-01-08,"Near Palestro, Algeria",9,9
1948-01-11,"Ciudad Havajillo, Dominican Republic",31,31
1948-01-13,"Oxon Hill, Maryland",9,5
1948-01-20,"Near Mukden, China",11,3
1949-08-09,"Salalah, Oman",12,12
1948-01-28,"Diablo Mts., California",32,32
1948-01-30,"AtlantiOcean, NE of Bermuda",31,31
1948-02-07,"Off Jacksonville, Florida",69,1
1948-02-12,"Ubrichstein, Germany",21,12
1948-02-20,"Collesalvetti,  Italy",10,7
1948-02-21,"Off St. Marcouf, France",14,14
1948-02-23,"Davao, Philippines",12,12
1948-02-25,"Columbus, Ohio",2,2
1948-02-27,"Near Belem, Brazil",26,23
1948-03-02,"Off Perpignan, France",4,4
1948-03-02,"Heathrow Airport, London, England",22,20
1948-03-07,"Near Skalafell, Iceland",5,5
1948-03-10,"Chicago, Illinois",13,12
1948-03-12,"Mt. Sanford, Alaska",30,30
1948-03-13,"Sierra Cristais, Brazil",6,6
1948-03-15,"Villa Pinzon, Colombia",15,14
1948-03-27,"Monte Cardo, Corsica, France",19,19
1948-04-05,"Near Berlin, Germany",15,15
1948-04-15,"Shannon, Ireland",31,30
1949-08-13,"Near Bogota, Colombia",32,32
1948-05-13,"Near Magazini, Belgian Congo (Zaire)",32,31
1948-05-13,"Mount Coron, France",10,10
1948-05-15,"Vrede, South Africa",13,13
1948-05-16,"Columbus, Ohio",2,2
1948-05-20,"Near Bovingdon, England",4,3
1948-05-25,"Albacete, Spain",4,4
1948-06-10,Ile of Man,8,6
1948-06-17,"Mount Carmel, Pennsylvania",43,43
1948-06-26,"Maiquetia, Venezuela",17,1
1948-07-01,"Keerbergen, Belgium",12,8
1948-07-04,"Northolt, Middlesex, England",32,32
1948-07-07,"Djiring, French Indo-China",16,16
1948-07-14,"Belem, Brazil",5,5
1948-07-16,PacifiOcean between Hong Kong and Macao,26,25
1948-07-24,"Cap-des-Rosiers, Quebec, Canada",26,26
1948-07-29,"Buenos Aires, Argentina",24,18
1948-07-29,"Tsingtao, China",24,19
1948-08-01,"1,200 miles off Dakar, AtlantiOcean",52,52
1948-08-01,"Karachi, Pakistan",4,4
1948-08-09,"Port Underwood, New Zealand",2,2
1948-08-20,"La Guaira, Venezuela",3,3
1950-05-24,"Near Pasto, Colombia",26,25
1948-08-29,"Near Winona, Minnesota",37,37
1948-08-31,"Near Elizabethville, Belgium Congo",13,13
1948-09-02,"Near Quirindi, Australia",13,13
1948-10-02,"Near Trondheim, Norway",45,19
1948-10-20,"Prestwick Airport, Scotland",40,40
1948-10-23,"Mt. Ruapehu, New Zealand",13,13
1948-10-27,"Near Edmonton, Alberta, Canada",5,2
1948-11-03,"Near Glossop, England",13,13
1948-11-04,"Cape Spencer, Alaska",17,17
1948-11-08,"Mt. Macedon, Australia",23,3
1948-11-11,"Liverpool, England",9,8
1948-11-26,"Vehari, Pakistan",21,21
1948-12-05,"Kiangwan, China",40,9
1948-12-06,"Milan, Italy",7,7
1948-12-12,"Taipei, Taiwan",10,2
1948-12-15,"Near Bogata, Colombia",30,30
1948-12-21,"Near Pilos, Greece",23,23
1948-12-21,"Basalt Island, Hong Kong",33,33
1948-12-23,"Near Madrid, Spain",27,27
1948-12-28,"Off San Juan, Puerto Rico",32,32
1948-12-31,"Mt. Argentari, Italy",12,12
1949-01-02,"Seattle, Washington",30,14
1949-01-05,"Caravelas Bay, Brazil",17,3
1949-01-06,"Brandywine, Maryland",2,2
1949-01-11,"Near Pelotas, Brazil",12,12
1949-01-15,"Ras-el-Tin, Egypt",30,30
1949-01-16,"Balihal Pass, India",13,13
1949-01-17,"AtlantiOcean, off Bermuda",20,20
1949-01-17,"Near Succoth Glen, Lochgoilhead, Scotland",20,20
1949-01-20,"Homer, Alaska",6,5
1949-01-30,"Port Washington, New York",35,2
1949-02-02,"Trinity Bay, Newfoundland",6,6
1949-02-04,"Castel Benito, Libya",53,1
1949-02-05,"Buenaventura Bay, Colombia",14,3
1949-02-08,"Off Copenhagen, Denmark",27,27
1949-02-10,"Near Huanuco, Peru",16,16
1949-02-19,"Near Coventry, Warks, England",14,14
1949-02-24,"Braemar Resevoir, Hong Kong",23,23
1951-11-15,"Near Lodz, Poland",16,16
1949-03-10,"Coolangatta, Australia",16,16
1949-03-15,"Berlin, Germany",3,3
1949-03-18,"Near Waikanae, New Zealand",15,15
1949-05-04,"Superga, Italy",31,31
1949-05-07,"Sibuyan Sea, off the Philippine island of Elalat",13,13
1949-06-06,"Malahasa Attica, Greece",22,22
1949-06-07,"Near Florianpolis, Brazil",27,27
1949-06-07,"San Juan, Puerto Rico",81,53
