Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
2014-09-14,"2,146","1,582","1,430",152
2014-09-15,"3,621","2,528","2,297",231
2014-09-16,"3,698","2,630","2,352",278
2014-09-17,"3,667","2,614","2,327",287
2014-09-18,"3,316","2,366","2,130",236
2014-09-19,"2,815","1,863","1,622",241
2014-09-20,"1,658","1,118",985,133
2014-09-21,"2,288","1,656","1,481",175
2014-09-22,"3,638","2,586","2,312",274
2014-09-23,"4,462","3,257","2,989",268
2014-09-24,"4,414","3,175","2,891",284
2014-09-25,"4,315","3,029","2,743",286
2014-09-26,"3,323","2,249","2,033",216
2014-09-27,"1,656","1,180","1,040",140
2014-09-28,"2,465","1,806","1,613",193
2014-09-29,"4,096","2,873","2,577",296
2014-09-30,"4,474","3,032","2,720",312
2014-10-01,"4,124","2,849","2,541",308
2014-10-02,"3,514","2,489","2,239",250
2014-10-03,"3,005","2,097","1,856",241
2014-10-04,"2,054","1,436","1,274",162
2014-10-05,"2,847","1,913","1,713",200
2014-10-06,"4,501","3,181","2,853",328
2014-10-07,"4,603","3,163","2,804",359
2014-10-08,"4,187","3,014","2,663",351
2014-10-09,"4,343","2,864","2,545",319
2014-10-10,"3,565","2,382","2,100",282
2014-10-11,"2,080","1,457","1,280",177
2014-10-12,"3,031","2,089","1,856",233
2014-10-13,"4,814","3,339","2,973",366
2014-10-14,"5,040","3,604","3,217",387
2014-10-15,"5,028","3,515","3,094",421
2014-10-16,"4,658","3,331","2,955",376
2014-10-17,"3,624","2,477","2,148",329
2014-10-18,"2,285","1,619","1,416",203
2014-10-19,"3,454","2,346","2,060",286
2014-10-20,"5,307","3,717","3,308",409
2014-10-21,"5,135","3,701","3,280",421
2014-10-22,"5,084","3,611","3,177",434
2014-10-23,"4,650","3,316","2,940",376
2014-10-24,"3,571","2,498","2,170",328
2014-10-25,"2,354","1,661","1,417",244
2014-10-26,"3,497","2,508","2,218",290
2014-10-27,"5,294","3,737","3,286",451
2014-10-28,"4,643","3,328","2,905",423
2014-10-29,"4,596","3,279","2,863",416
2014-10-30,"4,162","3,041","2,657",384
2014-10-31,"2,933","2,007","1,728",279
2014-11-01,"2,202","1,496","1,270",226
2014-11-02,"3,083","2,204","1,940",264
2014-11-03,"4,376","3,057","2,629",428
2014-11-04,"4,704","3,141","2,739",402
2014-11-05,"4,306","3,200","2,797",403
2014-11-06,"4,178","3,034","2,627",407
2014-11-07,"3,236","2,318","1,975",343
2014-11-08,"2,010","1,536","1,345",191
2014-11-09,"2,901","2,141","1,849",292
2014-11-10,"4,754","3,325","2,885",440
2014-11-11,"4,417","3,203","2,793",410
2014-11-12,"4,535","3,351","2,897",454
2014-11-13,"4,274","3,194","2,758",436
2014-11-14,"3,382","2,423","2,061",362
2014-11-15,"2,085","1,488","1,280",208
2014-11-16,"3,083","2,215","1,926",289
2014-11-17,"4,860","3,559","3,069",490
2014-11-18,"4,893","3,570","3,133",437
2014-11-19,"4,866","3,544","3,056",488
2014-11-20,"4,584","3,357","2,899",458
2014-11-21,"3,914","2,750","2,361",389
2014-11-22,"2,431","1,716","1,463",253
2014-11-23,"3,157","2,369","2,082",287
2014-11-24,"5,045","3,615","3,146",469
2014-11-25,"4,746","3,236","2,821",415
2014-11-26,"4,314","2,919","2,513",406
2014-11-27,"3,663","2,476","2,162",314
2014-11-28,"3,270","2,268","1,931",337
2014-11-29,"2,905","1,976","1,695",281
2014-11-30,"4,016","2,832","2,489",343
2014-12-01,"5,266","3,877","3,317",560
2014-12-02,"5,795","4,274","3,700",574
2014-12-03,"5,728","4,217","3,656",561
2014-12-04,"5,293","3,830","3,295",535
2014-12-05,"3,934","2,856","2,479",377
2014-12-06,"3,071","2,165","1,855",310
2014-12-07,"3,876","2,984","2,582",402
2014-12-08,"5,878","4,375","3,829",546
2014-12-09,"5,712","4,187","3,635",552
2014-12-10,"5,491","4,074","3,480",594
2014-12-11,"5,144","3,801","3,247",554
2014-12-12,"3,880","2,860","2,418",442
2014-12-13,"2,605","1,838","1,538",300
2014-12-14,"3,625","2,650","2,259",391
2014-12-15,"4,685","3,478","3,000",478
2014-12-16,"4,891","3,338","2,861",477
2014-12-17,"4,222","3,053","2,606",447
2014-12-18,"3,691","2,690","2,275",415
2014-12-19,"2,748","1,879","1,559",320
2014-12-20,"1,380","1,011",836,175
2014-12-21,"1,474","1,054",876,178
2014-12-22,"2,452","1,715","1,394",321
2014-12-23,"2,298","1,440","1,159",281
2014-12-24,"1,430",947,772,175
2014-12-25,"1,002",667,522,145
2014-12-26,"1,486","1,005",808,197
2014-12-27,"1,345",941,781,160
2014-12-28,"1,453",948,765,183
2014-12-29,"2,173","1,472","1,228",244
2014-12-30,"2,208","1,424","1,172",252
2014-12-31,"1,381",955,773,182
2015-01-01,"1,265",876,715,161
2015-01-02,"1,948","1,288","1,030",258
2015-01-03,"1,742","1,096",946,150
2015-01-04,"1,896","1,409","1,186",223
2015-01-05,"3,033","2,062","1,706",356
2015-01-06,"3,445","2,327","1,942",385
2015-01-07,"3,423","2,384","1,991",393
2015-01-08,"3,319","2,272","1,922",350
2015-01-09,"2,783","1,941","1,663",278
2015-01-10,"1,952","1,240","1,066",174
2015-01-11,"2,245","1,611","1,391",220
2015-01-12,"3,928","2,518","2,125",393
2015-01-13,"3,810","2,621","2,239",382
2015-01-14,"3,931","2,656","2,229",427
2015-01-15,"3,523","2,457","2,069",388
2015-01-16,"2,943","1,928","1,640",288
2015-01-17,"1,751","1,237","1,052",185
2015-01-18,"2,491","1,762","1,541",221
2015-01-19,"3,766","2,665","2,271",394
2015-01-20,"4,194","2,852","2,423",429
2015-01-21,"4,038","2,916","2,482",434
2015-01-22,"3,891","2,702","2,334",368
2015-01-23,"3,111","2,181","1,897",284
2015-01-24,"1,946","1,414","1,239",175
2015-01-25,"2,802","2,010","1,740",270
2015-01-26,"3,892","2,841","2,466",375
2015-01-27,"4,172","3,003","2,592",411
2015-01-28,"4,464","3,280","2,862",418
2015-01-29,"4,377","3,143","2,679",464
2015-01-30,"3,734","2,514","2,129",385
2015-01-31,"2,262","1,657","1,443",214
2015-02-01,"3,050","2,122","1,825",297
2015-02-02,"4,794","3,366","2,867",499
2015-02-03,"4,936","3,423","2,922",501
2015-02-04,"5,016","3,500","3,023",477
2015-02-05,"4,489","3,170","2,753",417
2015-02-06,"3,505","2,468","2,075",393
2015-02-07,"2,264","1,679","1,437",242
2015-02-08,"3,314","2,435","2,100",335
2015-02-09,"5,095","3,619","3,125",494
2015-02-10,"5,525","3,793","3,272",521
2015-02-11,"5,074","3,689","3,190",499
2015-02-12,"4,571","3,319","2,810",509
2015-02-13,"3,570","2,664","2,253",411
2015-02-14,"2,182","1,565","1,323",242
2015-02-15,"3,265","2,277","1,935",342
2015-02-16,"4,670","3,297","2,826",471
2015-02-17,"4,764","3,452","2,957",495
2015-02-18,"4,943","3,526","3,026",500
2015-02-19,"4,790","3,307","2,811",496
2015-02-20,"3,604","2,621","2,241",380
2015-02-21,"2,455","1,823","1,569",254
2015-02-22,"3,650","2,690","2,329",361
2015-02-23,"5,463","3,975","3,433",542
2015-02-24,"5,884","4,112","3,542",570
2015-02-25,"5,615","4,019","3,432",587
2015-02-26,"5,289","3,747","3,186",561
2015-02-27,"4,434","2,969","2,486",483
2015-02-28,"2,665","1,977","1,694",283
2015-03-01,"3,907","2,906","2,519",387
2015-03-02,"5,308","3,778","3,222",556
2015-03-03,"5,773","4,025","3,490",535
2015-03-04,"5,585","4,060","3,457",603
2015-03-05,"4,783","3,582","3,049",533
2015-03-06,"3,893","2,707","2,259",448
2015-03-07,"2,917","2,048","1,723",325
2015-03-08,"3,353","2,468","2,104",364
2015-03-09,"5,400","3,824","3,246",578
2015-03-10,"5,395","3,926","3,350",576
2015-03-11,"5,229","3,859","3,263",596
2015-03-12,"5,371","3,784","3,204",580
2015-03-13,"4,185","3,045","2,559",486
2015-03-14,"2,724","1,988","1,675",313
2015-03-15,"3,590","2,620","2,196",424
2015-03-16,"5,367","3,771","3,192",579
2015-03-17,"5,440","3,968","3,387",581
2015-03-18,"5,465","4,043","3,458",585
2015-03-19,"5,318","3,813","3,262",551
2015-03-20,"4,225","2,916","2,462",454
2015-03-21,"2,687","1,975","1,667",308
2015-03-22,"3,791","2,786","2,388",398
2015-03-23,"5,661","3,949","3,331",618
2015-03-24,"5,759","4,081","3,487",594
2015-03-25,"5,599","3,983","3,378",605
2015-03-26,"5,103","3,755","3,184",571
2015-03-27,"4,313","2,946","2,446",500
2015-03-28,"2,971","2,011","1,651",360
2015-03-29,"3,662","2,693","2,285",408
2015-03-30,"5,635","3,985","3,386",599
2015-03-31,"5,581","3,963","3,359",604
2015-04-01,"5,329","3,761","3,170",591
2015-04-02,"4,553","3,214","2,710",504
2015-04-03,"3,423","2,404","1,988",416
2015-04-04,"2,708","1,807","1,512",295
2015-04-05,"3,306","2,266","1,895",371
2015-04-06,"5,203","3,692","3,133",559
2015-04-07,"5,712","4,104","3,456",648
2015-04-08,"5,601","4,015","3,401",614
2015-04-09,"5,486","4,063","3,430",633
2015-04-10,"4,178","3,213","2,697",516
2015-04-11,"2,878","2,153","1,835",318
2015-04-12,"4,169","2,903","2,447",456
2015-04-13,"6,372","4,485","3,787",698
2015-04-14,"6,240","4,391","3,698",693
2015-04-15,"6,170","4,409","3,723",686
2015-04-16,"6,071","4,275","3,586",689
2015-04-17,"4,682","3,307","2,741",566
2015-04-18,"3,208","2,291","1,894",397
2015-04-19,"4,310","3,144","2,669",475
2015-04-20,"6,435","4,694","3,929",765
2015-04-21,"6,299","4,455","3,769",686
2015-04-22,"6,360","4,512","3,797",715
2015-04-23,"6,349","4,360","3,664",696
2015-04-24,"4,660","3,387","2,845",542
2015-04-25,"3,354","2,420","2,035",385
2015-04-26,"4,371","3,189","2,688",501
2015-04-27,"6,534","4,731","3,977",754
2015-04-28,"6,832","4,941","4,161",780
2015-04-29,"6,689","4,870","4,110",760
2015-04-30,"5,849","4,086","3,450",636
2015-05-01,"4,247","3,064","2,562",502
2015-05-02,"3,219","2,360","1,958",402
2015-05-03,"4,211","3,210","2,765",445
2015-05-04,"6,424","4,752","4,043",709
2015-05-05,"6,223","4,520","3,818",702
2015-05-06,"6,551","4,768","4,059",709
2015-05-07,"6,343","4,449","3,770",679
2015-05-08,"4,696","3,366","2,824",542
2015-05-09,"3,134","2,239","1,846",393
2015-05-10,"3,868","2,844","2,365",479
2015-05-11,"6,020","4,482","3,787",695
2015-05-12,"5,705","4,160","3,490",670
2015-05-13,"5,752","4,016","3,348",668
2015-05-14,"5,181","3,605","3,008",597
2015-05-15,"4,269","2,913","2,404",509
2015-05-16,"2,633","1,818","1,473",345
2015-05-17,"3,336","2,376","1,988",388
2015-05-18,"5,127","3,587","2,955",632
2015-05-19,"5,449","3,767","3,149",618
2015-05-20,"5,746","3,956","3,371",585
2015-05-21,"5,115","3,642","3,046",596
2015-05-22,"3,995","2,749","2,243",506
2015-05-23,"2,618","1,884","1,585",299
2015-05-24,"2,961","2,117","1,763",354
2015-05-25,"4,090","2,913","2,427",486
2015-05-26,"5,201","3,637","3,073",564
2015-05-27,"5,321","3,797","3,146",651
2015-05-28,"5,219","3,509","2,887",622
2015-05-29,"4,017","2,804","2,338",466
2015-05-30,"2,297","1,629","1,346",283
2015-05-31,"3,145","2,226","1,860",366
2015-06-01,"4,905","3,419","2,797",622
2015-06-02,"4,747","3,284","2,701",583
2015-06-03,"4,591","3,317","2,713",604
2015-06-04,"4,431","3,173","2,652",521
2015-06-05,"3,608","2,523","2,068",455
2015-06-06,"2,422","1,673","1,336",337
2015-06-07,"3,132","2,145","1,790",355
2015-06-08,"4,962","3,377","2,788",589
2015-06-09,"4,881","3,469","2,862",607
2015-06-10,"5,001","3,425","2,786",639
2015-06-11,"4,635","3,242","2,614",628
2015-06-12,"3,545","2,494","2,066",428
2015-06-13,"2,262","1,490","1,235",255
2015-06-14,"2,866","2,034","1,692",342
2015-06-15,"4,692","3,261","2,682",579
2015-06-16,"4,602","3,204","2,660",544
2015-06-17,"4,620","3,101","2,556",545
2015-06-18,"4,475","2,955","2,386",569
2015-06-19,"3,564","2,422","1,954",468
2015-06-20,"2,071","1,370","1,129",241
2015-06-21,"2,659","1,840","1,523",317
2015-06-22,"4,338","2,963","2,410",553
2015-06-23,"4,531","3,139","2,566",573
2015-06-24,"4,498","3,022","2,481",541
2015-06-25,"4,128","2,730","2,210",520
2015-06-26,"3,132","2,153","1,721",432
2015-06-27,"1,829","1,264","1,067",197
2015-06-28,"2,149","1,517","1,224",293
2015-06-29,"3,975","2,691","2,169",522
2015-06-30,"4,046","2,718","2,180",538
2015-07-01,"3,897","2,745","2,266",479
2015-07-02,"3,871","2,540","2,072",468
2015-07-03,"2,630","1,716","1,353",363
2015-07-04,"1,602","1,104",900,204
2015-07-05,"1,960","1,370","1,141",229
2015-07-06,"4,143","2,655","2,171",484
2015-07-07,"4,205","2,789","2,266",523
2015-07-08,"4,193","2,783","2,255",528
2015-07-09,"3,710","2,536","2,069",467
2015-07-10,"3,137","2,203","1,767",436
2015-07-11,"1,834","1,145",944,201
2015-07-12,"2,070","1,473","1,197",276
2015-07-13,"4,180","2,852","2,310",542
2015-07-14,"4,038","2,731","2,226",505
2015-07-15,"3,906","2,667","2,119",548
2015-07-16,"3,580","2,424","1,940",484
2015-07-17,"2,948","2,070","1,708",362
2015-07-18,"1,622","1,121",924,197
2015-07-19,"2,179","1,480","1,214",266
2015-07-20,"3,906","2,615","2,146",469
2015-07-21,"3,745","2,596","2,071",525
2015-07-22,"4,212","2,761","2,205",556
2015-07-23,"3,901","2,595","2,095",500
2015-07-24,"3,292","2,207","1,785",422
2015-07-25,"1,819","1,229","1,016",213
2015-07-26,"2,068","1,562","1,286",276
2015-07-27,"3,991","2,805","2,243",562
2015-07-28,"4,073","2,862","2,361",501
2015-07-29,"4,069","2,825","2,324",501
2015-07-30,"3,716","2,629","2,126",503
2015-07-31,"3,380","2,120","1,709",411
2015-08-01,"1,737","1,197",958,239
2015-08-02,"2,181","1,567","1,282",285
2015-08-03,"3,973","2,794","2,263",531
2015-08-04,"3,997","2,794","2,269",525
2015-08-05,"4,132","2,798","2,287",511
2015-08-06,"3,791","2,693","2,204",489
2015-08-07,"2,968","2,139","1,738",401
2015-08-08,"1,752","1,266","1,021",245
2015-08-09,"2,070","1,497","1,231",266
2015-08-10,"3,920","2,684","2,139",545
2015-08-11,"4,106","2,791","2,266",525
2015-08-12,"4,006","2,726","2,166",560
2015-08-13,"3,827","2,639","2,133",506
2015-08-14,"2,944","1,973","1,564",409
2015-08-15,"1,827","1,193",954,239
2015-08-16,"2,373","1,658","1,369",289
2015-08-17,"4,031","2,763","2,290",473
2015-08-18,"4,027","2,780","2,248",532
2015-08-19,"3,912","2,795","2,291",504
2015-08-20,"3,867","2,715","2,191",524
2015-08-21,"3,304","2,238","1,806",432
2015-08-22,"1,685","1,208","1,011",197
2015-08-23,"2,130","1,542","1,282",260
2015-08-24,"3,936","2,697","2,182",515
2015-08-25,"4,029","2,744","2,203",541
2015-08-26,"4,010","2,789","2,237",552
2015-08-27,"4,027","2,890","2,392",498
2015-08-28,"2,829","2,000","1,585",415
2015-08-29,"1,736","1,227","1,023",204
2015-08-30,"2,517","1,686","1,416",270
2015-08-31,"4,029","2,769","2,299",470
2015-09-01,"4,261","2,890","2,358",532
2015-09-02,"4,058","2,923","2,442",481
2015-09-03,"4,392","3,007","2,466",541
2015-09-04,"3,072","2,221","1,846",375
2015-09-05,"1,799","1,284","1,068",216
2015-09-06,"2,341","1,611","1,345",266
2015-09-07,"3,330","2,354","1,963",391
2015-09-08,"4,734","3,381","2,833",548
2015-09-09,"4,801","3,381","2,845",536
2015-09-10,"4,399","3,079","2,575",504
2015-09-11,"3,275","2,375","1,958",417
2015-09-12,"2,042","1,429","1,223",206
2015-09-13,"2,827","2,103","1,844",259
2015-09-14,"4,836","3,437","2,954",483
2015-09-15,"4,840","3,465","2,944",521
2015-09-16,"4,504","3,356","2,902",454
2015-09-17,"4,379","3,240","2,736",504
2015-09-18,"3,391","2,428","2,024",404
2015-09-19,"2,045","1,513","1,278",235
2015-09-20,"2,721","2,081","1,817",264
2015-09-21,"4,630","3,535","2,998",537
2015-09-22,"4,748","3,540","3,004",536
2015-09-23,"4,702","3,377","2,893",484
2015-09-24,"4,440","3,309","2,827",482
2015-09-25,"3,513","2,518","2,116",402
2015-09-26,"2,253","1,633","1,395",238
2015-09-27,"3,141","2,291","1,980",311
2015-09-28,"5,122","3,808","3,289",519
2015-09-29,"5,151","3,868","3,305",563
2015-09-30,"4,969","3,703","3,182",521
2015-10-01,"4,619","3,365","2,876",489
2015-10-02,"3,443","2,598","2,196",402
2015-10-03,"2,302","1,754","1,503",251
2015-10-04,"3,291","2,506","2,173",333
2015-10-05,"5,206","3,737","3,170",567
2015-10-06,"5,474","3,940","3,337",603
2015-10-07,"5,400","3,934","3,350",584
2015-10-08,"5,334","3,821","3,244",577
2015-10-09,"4,174","3,022","2,547",475
2015-10-10,"2,571","1,853","1,597",256
2015-10-11,"3,572","2,636","2,283",353
2015-10-12,"5,018","3,788","3,241",547
2015-10-13,"5,565","4,159","3,536",623
2015-10-14,"5,420","4,048","3,403",645
2015-10-15,"5,366","3,908","3,331",577
2015-10-16,"4,091","3,002","2,507",495
2015-10-17,"2,824","2,087","1,770",317
2015-10-18,"3,843","2,825","2,441",384
2015-10-19,"5,516","4,140","3,491",649
2015-10-20,"5,572","4,121","3,460",661
2015-10-21,"5,243","3,882","3,298",584
2015-10-22,"5,133","3,720","3,104",616
2015-10-23,"4,084","2,947","2,441",506
2015-10-24,"2,739","1,978","1,647",331
2015-10-25,"3,781","2,857","2,435",422
2015-10-26,"5,684","4,073","3,417",656
2015-10-27,"5,687","4,179","3,534",645
2015-10-28,"5,906","4,266","3,614",652
2015-10-29,"5,541","4,020","3,368",652
2015-10-30,"4,171","3,043","2,501",542
2015-10-31,"2,586","1,820","1,496",324
2015-11-01,"3,838","2,922","2,456",466
2015-11-02,"5,675","4,076","3,419",657
2015-11-03,"5,624","4,178","3,504",674
2015-11-04,"5,794","4,316","3,670",646
2015-11-05,"5,389","4,031","3,379",652
2015-11-06,"4,305","3,047","2,522",525
2015-11-07,"3,281","2,202","1,854",348
2015-11-08,"3,790","2,837","2,418",419
2015-11-09,"5,894","4,203","3,487",716
2015-11-10,"5,461","4,048","3,388",660
2015-11-11,"5,206","3,869","3,219",650
2015-11-12,"5,228","3,929","3,281",648
2015-11-13,"4,097","2,971","2,436",535
2015-11-14,"2,694","1,964","1,616",348
2015-11-15,"3,893","2,930","2,483",447
2015-11-16,"6,185","4,550","3,872",678
2015-11-17,"6,178","4,503","3,795",708
2015-11-18,"6,067","4,397","3,693",704
2015-11-19,"5,656","4,166","3,487",679
2015-11-20,"4,398","3,173","2,645",528
2015-11-21,"2,836","2,086","1,741",345
2015-11-22,"3,896","2,927","2,424",503
2015-11-23,"5,814","4,236","3,543",693
2015-11-24,"5,879","4,140","3,475",665
2015-11-25,"4,800","3,457","2,836",621
2015-11-26,"3,838","2,825","2,334",491
2015-11-27,"3,576","2,579","2,118",461
2015-11-28,"2,799","1,974","1,652",322
2015-11-29,"4,228","3,127","2,605",522
2015-11-30,"6,331","4,570","3,817",753
2015-12-01,"6,380","4,743","4,027",716
2015-12-02,"6,314","4,829","4,039",790
2015-12-03,"6,160","4,584","3,835",749
2015-12-04,"4,859","3,615","2,995",620
2015-12-05,"3,317","2,468","2,040",428
2015-12-06,"4,715","3,550","2,972",578
2015-12-07,"6,940","5,136","4,303",833
2015-12-08,"6,551","4,866","4,068",798
2015-12-09,"6,327","4,761","3,961",800
2015-12-10,"6,212","4,578","3,830",748
2015-12-11,"4,687","3,388","2,771",617
2015-12-12,"3,014","2,283","1,856",427
2015-12-13,"4,132","3,064","2,548",516
2015-12-14,"5,989","4,330","3,606",724
2015-12-15,"5,331","3,967","3,309",658
2015-12-16,"5,183","3,665","3,025",640
2015-12-17,"4,769","3,515","2,917",598
2015-12-18,"3,627","2,518","2,071",447
2015-12-19,"1,857","1,319","1,087",232
2015-12-20,"2,221","1,489","1,204",285
2015-12-21,"3,335","2,335","1,906",429
2015-12-22,"2,883","2,047","1,639",408
2015-12-23,"2,353","1,621","1,312",309
2015-12-24,"1,578","1,099",886,213
2015-12-25,"1,017",724,586,138
2015-12-26,"1,334",936,760,176
2015-12-27,"1,690","1,155",947,208
2015-12-28,"2,838","1,829","1,474",355
2015-12-29,"2,815","1,786","1,419",367
2015-12-30,"2,382","1,618","1,292",326
2015-12-31,"1,587","1,035",809,226
2016-01-01,"1,411",960,786,174
2016-01-02,"1,838","1,197",969,228
2016-01-03,"2,180","1,562","1,279",283
2016-01-04,"3,587","2,494","2,037",457
2016-01-05,"3,855","2,742","2,230",512
2016-01-06,"3,840","2,628","2,127",501
2016-01-07,"3,735","2,746","2,258",488
2016-01-08,"3,223","2,286","1,860",426
2016-01-09,"2,207","1,531","1,280",251
2016-01-10,"2,814","2,000","1,661",339
2016-01-11,"4,007","2,976","2,444",532
2016-01-12,"4,119","2,961","2,385",576
2016-01-13,"4,338","3,164","2,631",533
2016-01-14,"4,432","2,962","2,418",544
2016-01-15,"3,306","2,349","1,866",483
2016-01-16,"2,223","1,557","1,262",295
2016-01-17,"2,757","2,002","1,635",367
2016-01-18,"4,047","2,898","2,373",525
2016-01-19,"4,489","3,190","2,566",624
2016-01-20,"4,588","3,232","2,656",576
2016-01-21,"4,398","3,106","2,561",545
2016-01-22,"3,340","2,455","1,990",465
2016-01-23,"2,344","1,639","1,338",301
2016-01-24,"2,973","2,094","1,736",358
2016-01-25,"4,638","3,205","2,649",556
2016-01-26,"4,791","3,409","2,834",575
2016-01-27,"5,104","3,768","3,197",571
2016-01-28,"4,621","3,439","2,876",563
2016-01-29,"3,831","2,715","2,232",483
2016-01-30,"2,295","1,690","1,400",290
2016-01-31,"3,235","2,462","2,050",412
2016-02-01,"4,918","3,640","3,060",580
2016-02-02,"5,127","3,783","3,195",588
2016-02-03,"4,794","3,575","2,999",576
2016-02-04,"4,788","3,420","2,848",572
2016-02-05,"3,948","2,727","2,256",471
2016-02-06,"2,383","1,765","1,477",288
2016-02-07,"2,950","2,231","1,839",392
2016-02-08,"4,905","3,592","3,024",568
2016-02-09,"5,353","3,931","3,299",632
2016-02-10,"5,492","4,007","3,358",649
2016-02-11,"5,052","3,628","3,019",609
2016-02-12,"3,764","2,807","2,300",507
2016-02-13,"2,458","1,788","1,459",329
2016-02-14,"3,098","2,277","1,866",411
2016-02-15,"4,951","3,652","3,039",613
2016-02-16,"5,495","4,000","3,304",696
2016-02-17,"5,505","4,062","3,375",687
2016-02-18,"5,188","3,812","3,156",656
2016-02-19,"4,002","2,932","2,377",555
2016-02-20,"2,607","1,888","1,537",351
2016-02-21,"3,906","2,838","2,355",483
2016-02-22,"6,360","4,432","3,684",748
2016-02-23,"6,046","4,460","3,714",746
2016-02-24,"5,938","4,309","3,499",810
2016-02-25,"5,325","3,892","3,199",693
2016-02-26,"4,165","3,048","2,490",558
2016-02-27,"2,829","2,096","1,726",370
2016-02-28,"4,090","2,979","2,462",517
2016-02-29,"5,734","4,224","3,493",731
2016-03-01,"6,214","4,474","3,731",743
2016-03-02,"5,906","4,333","3,597",736
2016-03-03,"5,814","4,191","3,419",772
2016-03-04,"4,507","3,188","2,624",564
2016-03-05,"2,859","2,064","1,718",346
2016-03-06,"3,897","2,806","2,326",480
2016-03-07,"5,849","4,240","3,503",737
