Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
2016-03-08,"6,264","4,526","3,743",783
2016-03-09,"6,062","4,404","3,624",780
2016-03-10,"5,685","4,159","3,415",744
2016-03-11,"4,391","3,241","2,627",614
2016-03-12,"2,880","2,046","1,638",408
2016-03-13,"3,740","2,673","2,163",510
2016-03-14,"5,710","4,261","3,469",792
2016-03-15,"5,168","3,778","3,047",731
2016-03-16,"5,577","4,062","3,287",775
2016-03-17,"5,238","3,827","3,134",693
2016-03-18,"3,931","2,871","2,320",551
2016-03-19,"2,606","1,892","1,568",324
2016-03-20,"3,149","2,410","2,028",382
2016-03-21,"5,565","3,968","3,274",694
2016-03-22,"5,281","3,770","3,035",735
2016-03-23,"5,202","3,780","3,146",634
2016-03-24,"4,581","3,203","2,649",554
2016-03-25,"3,264","2,281","1,847",434
2016-03-26,"2,344","1,759","1,393",366
2016-03-27,"3,112","2,311","1,890",421
2016-03-28,"5,051","3,655","2,985",670
2016-03-29,"5,333","3,944","3,217",727
2016-03-30,"5,671","4,078","3,369",709
2016-03-31,"5,097","3,707","3,026",681
2016-04-01,"4,555","2,971","2,408",563
2016-04-02,"2,987","2,129","1,737",392
2016-04-03,"4,257","2,964","2,421",543
2016-04-04,"5,804","4,216","3,426",790
2016-04-05,"5,885","4,379","3,597",782
2016-04-06,"6,054","4,293","3,522",771
2016-04-07,"5,791","4,147","3,422",725
2016-04-08,"4,741","3,430","2,820",610
2016-04-09,"2,946","2,140","1,740",400
2016-04-10,"4,071","2,864","2,330",534
2016-04-11,"6,265","4,503","3,667",836
2016-04-12,"6,298","4,626","3,769",857
2016-04-13,"6,495","4,628","3,791",837
2016-04-14,"5,536","4,189","3,431",758
2016-04-15,"4,737","3,447","2,785",662
2016-04-16,"3,232","2,333","1,862",471
2016-04-17,"4,201","3,093","2,504",589
2016-04-18,"6,806","4,769","3,920",849
2016-04-19,"6,769","4,817","3,940",877
2016-04-20,"6,581","4,824","3,926",898
2016-04-21,"6,254","4,537","3,707",830
2016-04-22,"5,163","3,685","3,009",676
2016-04-23,"3,851","2,595","2,113",482
2016-04-24,"4,695","3,386","2,761",625
2016-04-25,"7,098","5,224","4,237",987
2016-04-26,"7,156","5,392","4,468",924
2016-04-27,"6,836","5,056","4,130",926
2016-04-28,"6,329","4,724","3,892",832
2016-04-29,"4,990","3,608","2,922",686
2016-04-30,"3,536","2,489","1,993",496
2016-05-01,"4,366","3,236","2,605",631
2016-05-02,"6,510","4,786","3,909",877
2016-05-03,"6,855","4,962","4,085",877
2016-05-04,"6,599","4,651","3,744",907
2016-05-05,"5,510","4,105","3,375",730
2016-05-06,"4,549","3,245","2,639",606
2016-05-07,"3,064","2,167","1,760",407
2016-05-08,"3,633","2,663","2,180",483
2016-05-09,"5,838","4,283","3,489",794
2016-05-10,"6,026","4,336","3,581",755
2016-05-11,"5,780","4,226","3,479",747
2016-05-12,"5,131","3,781","3,101",680
2016-05-13,"3,928","2,845","2,294",551
2016-05-14,"2,636","1,930","1,552",378
2016-05-15,"3,278","2,366","1,922",444
2016-05-16,"4,785","3,560","2,882",678
2016-05-17,"4,886","3,601","2,914",687
2016-05-18,"5,145","3,672","2,987",685
2016-05-19,"5,849","4,211","3,484",727
2016-05-20,"4,456","3,324","2,725",599
2016-05-21,"2,960","2,138","1,716",422
2016-05-22,"3,885","2,860","2,338",522
2016-05-23,"5,857","4,155","3,368",787
2016-05-24,"6,162","4,345","3,526",819
2016-05-25,"6,014","4,254","3,398",856
2016-05-26,"5,652","4,119","3,385",734
2016-05-27,"4,793","3,340","2,692",648
2016-05-28,"2,819","1,995","1,611",384
2016-05-29,"3,687","2,546","2,067",479
2016-05-30,"4,851","3,399","2,701",698
2016-05-31,"5,775","4,216","3,413",803
2016-06-01,"5,443","3,962","3,193",769
2016-06-02,"5,590","3,959","3,176",783
2016-06-03,"4,482","3,164","2,489",675
2016-06-04,"2,792","1,947","1,533",414
2016-06-05,"3,371","2,449","1,979",470
2016-06-06,"5,547","3,832","3,036",796
2016-06-07,"5,468","3,954","3,226",728
2016-06-08,"5,104","3,751","3,064",687
2016-06-09,"4,728","3,485","2,812",673
2016-06-10,"4,024","2,855","2,290",565
2016-06-11,"2,350","1,677","1,348",329
2016-06-12,"3,234","2,196","1,779",417
2016-06-13,"4,948","3,550","2,790",760
2016-06-14,"5,247","3,760","3,052",708
2016-06-15,"5,003","3,557","2,810",747
2016-06-16,"4,816","3,482","2,775",707
2016-06-17,"4,208","2,818","2,267",551
2016-06-18,"2,454","1,668","1,357",311
2016-06-19,"2,763","1,919","1,506",413
2016-06-20,"4,954","3,522","2,829",693
2016-06-21,"4,903","3,470","2,793",677
2016-06-22,"4,907","3,464","2,772",692
2016-06-23,"4,625","3,336","2,669",667
2016-06-24,"3,497","2,482","1,947",535
2016-06-25,"1,826","1,358","1,101",257
2016-06-26,"2,307","1,721","1,356",365
2016-06-27,"4,368","3,078","2,433",645
2016-06-28,"4,233","3,091","2,466",625
2016-06-29,"4,187","2,948","2,377",571
2016-06-30,"3,811","2,726","2,135",591
2016-07-01,"3,179","2,226","1,730",496
2016-07-02,"1,615","1,039",814,225
2016-07-03,"1,788","1,307","1,028",279
2016-07-04,"2,959","2,144","1,653",491
2016-07-05,"3,947","2,840","2,235",605
2016-07-06,"3,841","2,821","2,248",573
2016-07-07,"3,729","2,700","2,148",552
2016-07-08,"3,324","2,381","1,891",490
2016-07-09,"1,795","1,305","1,036",269
2016-07-10,"2,373","1,655","1,321",334
2016-07-11,"4,101","2,855","2,208",647
2016-07-12,"4,241","2,960","2,352",608
2016-07-13,"4,478","3,189","2,578",611
2016-07-14,"3,961","2,814","2,214",600
2016-07-15,"3,367","2,325","1,796",529
2016-07-16,"1,828","1,222",951,271
2016-07-17,"2,344","1,636","1,319",317
2016-07-18,"4,415","3,007","2,382",625
2016-07-19,"4,403","3,151","2,502",649
2016-07-20,"4,244","3,082","2,450",632
2016-07-21,"4,322","3,077","2,404",673
2016-07-22,"3,456","2,431","1,936",495
2016-07-23,"2,068","1,407","1,099",308
2016-07-24,"2,568","1,755","1,374",381
2016-07-25,"4,770","3,320","2,628",692
2016-07-26,"4,621","3,277","2,595",682
2016-07-27,"4,470","3,164","2,513",651
2016-07-28,"4,307","3,077","2,459",618
2016-07-29,"3,370","2,366","1,818",548
2016-07-30,"1,960","1,341","1,017",324
2016-07-31,"2,412","1,765","1,423",342
2016-08-01,"4,504","3,095","2,489",606
2016-08-02,"4,382","3,138","2,499",639
2016-08-03,"4,710","3,369","2,697",672
2016-08-04,"4,324","3,106","2,479",627
2016-08-05,"3,472","2,497","1,980",517
2016-08-06,"1,909","1,339","1,081",258
2016-08-07,"2,365","1,688","1,334",354
2016-08-08,"4,460","3,056","2,438",618
2016-08-09,"4,479","3,135","2,482",653
2016-08-10,"4,510","3,207","2,550",657
2016-08-11,"4,340","3,111","2,491",620
2016-08-12,"3,508","2,436","1,933",503
2016-08-13,"2,030","1,420","1,122",298
2016-08-14,"2,586","1,749","1,399",350
2016-08-15,"4,476","2,970","2,346",624
2016-08-16,"3,232","2,299","1,823",476
2016-08-17,"4,291","3,106","2,498",608
2016-08-18,"4,247","2,926","2,327",599
2016-08-19,"3,477","2,539","2,045",494
2016-08-20,"2,169","1,470","1,169",301
2016-08-21,"2,430","1,808","1,453",355
2016-08-22,"4,358","3,082","2,439",643
2016-08-23,"4,465","3,249","2,550",699
2016-08-24,"4,550","3,210","2,615",595
2016-08-25,"4,147","3,011","2,380",631
2016-08-26,"3,634","2,532","2,000",532
2016-08-27,"2,014","1,430","1,141",289
2016-08-28,"2,687","1,910","1,555",355
2016-08-29,"4,376","3,115","2,521",594
2016-08-30,"4,318","3,226","2,622",604
2016-08-31,"4,441","3,219","2,620",599
2016-09-01,"4,234","3,116","2,556",560
2016-09-02,"3,027","2,230","1,762",468
2016-09-03,"1,966","1,376","1,101",275
2016-09-04,"2,446","1,761","1,452",309
2016-09-05,"3,779","2,643","2,145",498
2016-09-06,"4,619","3,341","2,727",614
2016-09-07,"4,983","3,584","2,925",659
2016-09-08,"4,645","3,319","2,716",603
2016-09-09,"3,612","2,630","2,139",491
2016-09-10,"2,153","1,577","1,323",254
2016-09-11,"3,089","2,307","1,978",329
2016-09-12,"4,580","3,446","2,882",564
2016-09-13,"4,788","3,625","2,992",633
2016-09-14,"5,095","3,759","3,113",646
2016-09-15,"4,668","3,454","2,860",594
2016-09-16,"3,711","2,785","2,272",513
2016-09-17,"2,523","1,861","1,577",284
2016-09-18,"3,364","2,547","2,122",425
2016-09-19,"5,513","4,050","3,321",729
2016-09-20,"5,362","3,762","3,095",667
2016-09-21,"5,402","3,987","3,293",694
2016-09-22,"5,398","3,996","3,299",697
2016-09-23,"3,783","2,663","2,134",529
2016-09-24,"2,395","1,797","1,503",294
2016-09-25,"3,679","2,719","2,289",430
2016-09-26,"5,688","4,325","3,570",755
2016-09-27,"5,842","4,382","3,645",737
2016-09-28,"5,923","4,458","3,682",776
2016-09-29,"5,717","4,222","3,487",735
2016-09-30,"4,250","3,176","2,565",611
2016-10-01,"2,525","1,986","1,656",330
2016-10-02,"3,923","3,023","2,559",464
2016-10-03,"5,785","4,281","3,545",736
2016-10-04,"6,052","4,522","3,780",742
2016-10-05,"6,150","4,588","3,814",774
2016-10-06,"5,591","4,134","3,419",715
2016-10-07,"4,279","3,196","2,616",580
2016-10-08,"2,897","2,066","1,717",349
2016-10-09,"3,904","2,873","2,374",499
2016-10-10,"5,458","4,145","3,442",703
2016-10-11,"5,909","4,399","3,685",714
2016-10-12,"6,175","4,620","3,823",797
2016-10-13,"5,856","4,422","3,581",841
2016-10-14,"4,610","3,505","2,837",668
2016-10-15,"3,081","2,269","1,864",405
2016-10-16,"4,390","3,265","2,718",547
2016-10-17,"6,507","4,917","4,018",899
2016-10-18,"6,941","5,103","4,189",914
2016-10-19,"6,576","4,776","3,961",815
2016-10-20,"5,985","4,462","3,701",761
2016-10-21,"4,789","3,497","2,840",657
2016-10-22,"3,263","2,292","1,881",411
2016-10-23,"4,180","3,135","2,561",574
2016-10-24,"6,371","4,865","3,993",872
2016-10-25,"6,648","4,960","4,070",890
2016-10-26,"6,501","4,777","3,880",897
2016-10-27,"6,088","4,431","3,574",857
2016-10-28,"4,376","3,179","2,510",669
2016-10-29,"2,733","1,955","1,549",406
2016-10-30,"3,953","2,921","2,344",577
2016-10-31,"6,108","4,416","3,563",853
2016-11-01,"5,668","4,185","3,360",825
2016-11-02,"6,159","4,508","3,663",845
2016-11-03,"5,810","4,241","3,426",815
2016-11-04,"4,491","3,394","2,670",724
2016-11-05,"3,110","2,263","1,842",421
2016-11-06,"4,418","3,281","2,713",568
2016-11-07,"6,529","4,488","3,573",915
2016-11-08,"5,756","4,251","3,437",814
2016-11-09,"5,716","4,102","3,315",787
2016-11-10,"5,323","4,022","3,246",776
2016-11-11,"4,280","3,085","2,441",644
2016-11-12,"2,982","2,169","1,777",392
2016-11-13,"4,365","3,172","2,595",577
2016-11-14,"6,627","4,888","3,942",946
2016-11-15,"6,467","4,808","3,905",903
2016-11-16,"6,631","4,903","3,984",919
2016-11-17,"6,378","4,681","3,779",902
2016-11-18,"4,767","3,424","2,734",690
2016-11-19,"3,501","2,580","2,136",444
2016-11-20,"4,647","3,426","2,777",649
2016-11-21,"6,336","4,693","3,788",905
2016-11-22,"6,222","4,564","3,646",918
2016-11-23,"5,527","3,904","3,082",822
2016-11-24,"4,267","3,197","2,561",636
2016-11-25,"3,733","2,678","2,135",543
2016-11-26,"3,299","2,394","1,907",487
2016-11-27,"4,530","3,396","2,722",674
2016-11-28,"6,908","5,047","4,167",880
2016-11-29,"7,714","5,338","4,369",969
2016-11-30,"7,490","5,425","4,389","1,036"
2016-12-01,"7,190","5,081","4,120",961
2016-12-02,"5,391","3,977","3,171",806
2016-12-03,"3,575","2,667","2,178",489
2016-12-04,"5,285","4,031","3,247",784
2016-12-05,"7,330","5,439","4,452",987
2016-12-06,"7,489","5,479","4,500",979
2016-12-07,"7,345","5,467","4,469",998
2016-12-08,"6,679","4,991","3,998",993
2016-12-09,"5,403","3,970","3,190",780
2016-12-10,"3,573","2,712","2,203",509
2016-12-11,"4,834","3,515","2,838",677
2016-12-12,"6,905","4,945","3,988",957
2016-12-13,"6,743","4,927","3,942",985
2016-12-14,"6,201","4,488","3,593",895
2016-12-15,"5,571","4,071","3,229",842
2016-12-16,"3,872","2,780","2,191",589
2016-12-17,"2,613","1,884","1,480",404
2016-12-18,"3,109","2,293","1,853",440
2016-12-19,"4,324","3,145","2,477",668
2016-12-20,"4,226","3,064","2,339",725
2016-12-21,"3,991","2,914","2,278",636
2016-12-22,"3,160","2,211","1,728",483
2016-12-23,"2,386","1,626","1,257",369
2016-12-24,"1,115",825,634,191
2016-12-25,"1,387",930,740,190
2016-12-26,"2,147","1,418","1,142",276
2016-12-27,"2,686","1,777","1,349",428
2016-12-28,"2,885","1,915","1,476",439
2016-12-29,"2,694","1,837","1,400",437
2016-12-30,"2,273","1,541","1,164",377
2016-12-31,"1,188",836,643,193
2017-01-01,"1,447","1,039",832,207
2017-01-02,"2,568","1,844","1,448",396
2017-01-03,"3,566","2,527","1,970",557
2017-01-04,"3,941","2,816","2,226",590
2017-01-05,"3,841","2,625","2,058",567
2017-01-06,"3,261","2,338","1,812",526
2017-01-07,"2,241","1,523","1,204",319
2017-01-08,"2,679","1,892","1,519",373
2017-01-09,"4,182","2,841","2,191",650
2017-01-10,"4,236","3,039","2,391",648
2017-01-11,"4,628","3,206","2,536",670
2017-01-12,"4,205","3,025","2,403",622
2017-01-13,"3,459","2,508","2,033",475
2017-01-14,"2,448","1,744","1,390",354
2017-01-15,"2,853","2,015","1,586",429
2017-01-16,"4,638","3,178","2,543",635
2017-01-17,"5,325","3,669","2,942",727
2017-01-18,"4,866","3,364","2,670",694
2017-01-19,"4,715","3,375","2,689",686
2017-01-20,"3,753","2,713","2,136",577
2017-01-21,"2,481","1,778","1,437",341
2017-01-22,"3,233","2,401","1,981",420
2017-01-23,"5,034","3,660","2,957",703
2017-01-24,"4,787","3,593","2,909",684
2017-01-25,"4,901","3,602","2,923",679
2017-01-26,"4,398","3,266","2,653",613
2017-01-27,"3,823","2,832","2,267",565
2017-01-28,"2,619","1,901","1,534",367
2017-01-29,"3,518","2,612","2,205",407
2017-01-30,"5,178","3,826","3,127",699
2017-01-31,"5,290","3,876","3,127",749
2017-02-01,"5,469","4,116","3,402",714
2017-02-02,"5,399","4,028","3,303",725
2017-02-03,"4,232","3,012","2,342",670
2017-02-04,"2,828","2,084","1,697",387
2017-02-05,"3,724","2,783","2,281",502
2017-02-06,"5,733","4,249","3,448",801
2017-02-07,"5,814","4,284","3,521",763
2017-02-08,"5,349","4,006","3,248",758
2017-02-09,"5,025","3,681","3,010",671
2017-02-10,"4,044","2,922","2,335",587
2017-02-11,"2,323","1,731","1,377",354
2017-02-12,"3,147","2,469","2,005",464
2017-02-13,"4,972","3,719","3,014",705
2017-02-14,"4,878","3,582","2,897",685
2017-02-15,"5,288","3,786","3,039",747
2017-02-16,"4,968","3,668","2,934",734
2017-02-17,"3,788","2,748","2,158",590
2017-02-18,"2,514","1,839","1,496",343
2017-02-19,"3,463","2,602","2,083",519
2017-02-20,"4,931","3,700","3,009",691
2017-02-21,"5,101","3,873","3,079",794
2017-02-22,"5,144","3,727","2,998",729
2017-02-23,"4,433","3,372","2,657",715
2017-02-24,"3,597","2,648","2,111",537
2017-02-25,"2,621","1,826","1,482",344
2017-02-26,"3,397","2,494","2,021",473
2017-02-27,"5,062","3,812","3,009",803
2017-02-28,"4,926","3,678","2,933",745
2017-03-01,"4,936","3,558","2,822",736
2017-03-02,"4,688","3,441","2,747",694
2017-03-03,"3,827","2,699","2,140",559
2017-03-04,"2,452","1,754","1,408",346
2017-03-05,"3,283","2,394","1,958",436
2017-03-06,"4,823","3,481","2,764",717
2017-03-07,"4,821","3,662","2,942",720
2017-03-08,"5,059","3,613","2,923",690
2017-03-09,"4,585","3,444","2,744",700
2017-03-10,"3,682","2,733","2,178",555
2017-03-11,"2,350","1,714","1,351",363
2017-03-12,"3,056","2,189","1,755",434
2017-03-13,"4,746","3,367","2,721",646
2017-03-14,"4,613","3,465","2,808",657
2017-03-15,"4,560","3,441","2,694",747
2017-03-16,"4,520","3,304","2,629",675
2017-03-17,"3,346","2,433","1,930",503
2017-03-18,"2,253","1,649","1,325",324
2017-03-19,"2,927","2,267","1,807",460
2017-03-20,"4,878","3,463","2,799",664
2017-03-21,"4,852","3,481","2,802",679
2017-03-22,"4,585","3,430","2,757",673
2017-03-23,"4,477","3,260","2,600",660
2017-03-24,"3,654","2,566","1,993",573
2017-03-25,"2,411","1,760","1,420",340
2017-03-26,"3,054","2,336","1,882",454
2017-03-27,"4,696","3,479","2,765",714
2017-03-28,"5,033","3,633","2,875",758
2017-03-29,"4,948","3,530","2,809",721
2017-03-30,"4,636","3,390","2,704",686
2017-03-31,"3,539","2,636","2,060",576
2017-04-01,"2,371","1,678","1,338",340
2017-04-02,"2,816","2,159","1,715",444
2017-04-03,"4,493","3,356","2,672",684
2017-04-04,"4,678","3,486","2,739",747
2017-04-05,"4,737","3,484","2,762",722
2017-04-06,"4,775","3,514","2,806",708
2017-04-07,"3,658","2,725","2,181",544
2017-04-08,"2,260","1,664","1,324",340
2017-04-09,"3,343","2,433","1,933",500
2017-04-10,"4,640","3,440","2,756",684
2017-04-11,"4,694","3,532","2,867",665
2017-04-12,"4,771","3,517","2,800",717
2017-04-13,"4,173","3,017","2,395",622
2017-04-14,"3,046","2,238","1,752",486
2017-04-15,"2,260","1,701","1,333",368
2017-04-16,"2,876","2,143","1,700",443
2017-04-17,"4,774","3,402","2,719",683
2017-04-18,"5,009","3,702","2,906",796
2017-04-19,"5,369","3,852","3,133",719
2017-04-20,"5,020","3,669","2,969",700
2017-04-21,"3,935","2,802","2,203",599
2017-04-22,"2,795","2,049","1,630",419
2017-04-23,"3,795","2,827","2,305",522
2017-04-24,"5,489","4,083","3,252",831
2017-04-25,"5,680","4,108","3,336",772
2017-04-26,"5,383","3,940","3,205",735
2017-04-27,"4,890","3,695","2,985",710
2017-04-28,"3,872","2,887","2,310",577
2017-04-29,"2,790","1,987","1,602",385
2017-04-30,"3,524","2,616","2,118",498
2017-05-01,"4,903","3,551","2,875",676
2017-05-02,"5,160","3,802","3,079",723
2017-05-03,"5,194","3,766","2,995",771
2017-05-04,"5,142","3,755","3,013",742
2017-05-05,"3,836","2,925","2,323",602
2017-05-06,"2,737","1,981","1,572",409
2017-05-07,"3,386","2,534","2,025",509
2017-05-08,"4,816","3,585","2,900",685
2017-05-09,"4,734","3,458","2,763",695
2017-05-10,"4,761","3,475","2,754",721
2017-05-11,"4,277","3,224","2,570",654
2017-05-12,"3,563","2,620","2,056",564
2017-05-13,"2,401","1,749","1,379",370
2017-05-14,"2,877","2,126","1,674",452
2017-05-15,"4,448","3,191","2,494",697
2017-05-16,"4,525","3,226","2,593",633
2017-05-17,"4,533","3,318","2,676",642
2017-05-18,"4,431","3,307","2,686",621
2017-05-19,"3,456","2,470","1,938",532
2017-05-20,"2,162","1,651","1,332",319
2017-05-21,"2,786","1,971","1,597",374
2017-05-22,"4,172","3,041","2,403",638
2017-05-23,"4,255","3,077","2,457",620
2017-05-24,"4,154","2,996","2,400",596
2017-05-25,"3,803","2,839","2,263",576
2017-05-26,"2,950","2,183","1,720",463
2017-05-27,"1,909","1,444","1,155",289
2017-05-28,"2,506","1,781","1,399",382
2017-05-29,"3,325","2,457","1,913",544
2017-05-30,"4,086","2,909","2,298",611
2017-05-31,"3,716","2,667","2,069",598
2017-06-01,"3,702","2,639","2,103",536
2017-06-02,"2,959","2,171","1,680",491
2017-06-03,"2,006","1,471","1,161",310
2017-06-04,"2,479","1,795","1,419",376
2017-06-05,"3,501","2,610","2,072",538
2017-06-06,"3,985","2,922","2,361",561
2017-06-07,"3,920","2,913","2,314",599
2017-06-08,"3,868","2,796","2,209",587
2017-06-09,"2,921","2,101","1,660",441
2017-06-10,"1,655","1,244",975,269
2017-06-11,"2,229","1,622","1,299",323
2017-06-12,"3,660","2,598","2,020",578
2017-06-13,"3,898","2,809","2,202",607
2017-06-14,"3,912","2,797","2,200",597
2017-06-15,"3,604","2,624","2,029",595
2017-06-16,"2,970","2,105","1,621",484
2017-06-17,"1,546","1,187",957,230
2017-06-18,"1,944","1,465","1,146",319
2017-06-19,"3,608","2,493","1,959",534
2017-06-20,"3,514","2,472","1,905",567
2017-06-21,"3,344","2,475","1,915",560
2017-06-22,"3,292","2,351","1,824",527
2017-06-23,"2,469","1,850","1,445",405
2017-06-24,"1,296",925,702,223
2017-06-25,"1,546","1,071",811,260
2017-06-26,"2,948","1,998","1,528",470
2017-06-27,"3,077","2,190","1,690",500
2017-06-28,"3,028","2,145","1,649",496
2017-06-29,"2,738","1,976","1,474",502
2017-06-30,"2,147","1,478","1,087",391
2017-07-01,"1,277",903,675,228
2017-07-02,"1,606","1,142",879,263
2017-07-03,"2,504","1,726","1,296",430
2017-07-04,"2,218","1,566","1,217",349
2017-07-05,"3,024","2,149","1,681",468
2017-07-06,"2,951","2,047","1,555",492
2017-07-07,"2,401","1,693","1,310",383
2017-07-08,"1,242",891,700,191
2017-07-09,"1,511","1,172",938,234
2017-07-10,"2,934","2,062","1,619",443
2017-07-11,"3,003","2,140","1,663",477
2017-07-12,"3,073","2,192","1,710",482
2017-07-13,"2,933","2,043","1,550",493
2017-07-14,"2,468","1,710","1,287",423
2017-07-15,"1,355",892,689,203
2017-07-16,"1,553","1,122",891,231
2017-07-17,"2,902","1,954","1,479",475
2017-07-18,"2,899","2,109","1,591",518
2017-07-19,"2,986","2,032","1,584",448
2017-07-20,"2,964","2,031","1,571",460
2017-07-21,"2,433","1,609","1,214",395
2017-07-22,"1,280",923,725,198
2017-07-23,"1,603","1,170",909,261
2017-07-24,"3,154","2,214","1,726",488
2017-07-25,"3,084","2,148","1,666",482
2017-07-26,"2,983","1,925","1,490",435
2017-07-27,"2,849","1,908","1,440",468
2017-07-28,"2,420","1,538","1,150",388
2017-07-29,"1,300",895,712,183
2017-07-30,"1,526","1,112",863,249
2017-07-31,"2,872","1,978","1,481",497
2017-08-01,"2,914","1,957","1,463",494
2017-08-02,"2,843","1,994","1,536",458
2017-08-03,"2,649","1,894","1,447",447
2017-08-04,"2,042","1,478","1,150",328
2017-08-05,"1,225",901,681,220
2017-08-06,"1,562","1,045",792,253
2017-08-07,"2,751","1,823","1,398",425
2017-08-08,"2,634","1,868","1,415",453
2017-08-09,"2,704","1,961","1,511",450
2017-08-10,"2,670","1,864","1,463",401
2017-08-11,"2,073","1,498","1,121",377
2017-08-12,"1,240",888,669,219
2017-08-13,"1,530","1,076",811,265
2017-08-14,"2,392","1,704","1,346",358
2017-08-15,"2,675","1,846","1,471",375
2017-08-16,"2,755","1,911","1,436",475
2017-08-17,"2,608","1,824","1,421",403
2017-08-18,"2,163","1,521","1,163",358
2017-08-19,"1,304",951,743,208
2017-08-20,"1,969","1,419","1,156",263
2017-08-21,"2,985","2,069","1,575",494
2017-08-22,"3,087","2,259","1,772",487
2017-08-23,"3,047","2,147","1,704",443
2017-08-24,"2,961","2,026","1,600",426
2017-08-25,"2,293","1,589","1,257",332
2017-08-26,"1,261",934,751,183
2017-08-27,"1,676","1,211",983,228
2017-08-28,"1,786","1,287","1,005",282
2017-08-29,"3,252","2,310","1,845",465
2017-08-30,"3,082","2,179","1,741",438
2017-08-31,"2,721","1,963","1,579",384
2017-09-01,"2,217","1,583","1,235",348
