Year,Week,Data 1
1990,6,0.816
1990,7,-0.27
1990,8,-2.576
1990,9,3.514
1990,10,0.712
1990,11,1.178
1990,12,-1.372
1990,13,0.807
1990,14,0.041
1990,15,1.253
1990,16,-2.678
1990,17,-1.793
1990,18,2.82
1990,19,4.022
1990,20,0.75
1990,21,-0.017
1990,22,2.42
1990,23,-1.225
1990,24,1.171
1990,25,-2.061
1990,26,0.729
1990,27,0.112
1990,28,2.48
1990,29,-1.552
1990,30,-2.259
1990,31,-2.428
1990,32,-2.708
1990,33,-2.292
1990,34,-4.978
1990,35,3.547
1990,36,0.26
1990,37,-2.032
1990,38,-1.739
1990,39,-1.693
1990,40,1.781
1990,41,-3.682
1990,42,4.15
1990,43,-2.487
1990,44,2.343
1990,45,0.606
1990,46,1.077
1990,47,-0.637
1990,48,2.26
1990,49,1.716
1990,50,-0.284
1990,51,1.508
1990,52,-0.913
1991,1,-2.349
1991,2,-1.798
1991,3,5.393
1991,4,1.156
1991,5,2.077
1991,6,4.751
1991,7,2.702
1991,8,-0.924
1991,9,1.318
1991,10,1.209
1991,11,-0.363
1991,12,-1.635
1991,13,2.106
1991,14,0.037
1991,15,1.343
1991,16,0.999
1991,17,-1.348
1991,18,0.47
1991,19,-1.329
1991,20,-0.892
1991,21,1.37
1991,22,3.269
1991,23,-2.668
1991,24,0.754
1991,25,-1.188
1991,26,-1.745
1991,27,0.787
1991,28,1.649
1991,29,1.044
1991,30,-0.856
1991,31,1.641
1991,32,-0.015
1991,33,-0.398
1991,34,2.228
1991,35,0.32
1991,36,-1.601
1991,37,-1.416
1991,38,1.129
1991,39,-0.521
1991,40,-1.205
1991,41,0.052
1991,42,2.897
1991,43,-2.115
1991,44,1.853
1991,45,0.401
1991,46,-2.614
1991,47,-1.694
1991,48,-0.245
1991,49,1.034
1991,50,1.417
1991,51,0.668
1991,52,5.018
1992,1,3.169
1992,2,-1.011
1992,3,0.906
1992,4,-0.807
1992,5,-1.613
1992,6,0.565
1992,7,0.338
1992,8,-0.255
1992,9,0.309
1992,10,-2.001
1992,11,0.346
1992,12,1.345
1992,13,-1.896
1992,14,-0.483
1992,15,0.682
1992,16,2.906
1992,17,-1.687
1992,18,0.858
1992,19,0.853
1992,20,-1.433
1992,21,0.958
1992,22,0.321
1992,23,-0.45
1992,24,-0.9
1992,25,-1.486
1992,26,-0.054
1992,27,2.062
1992,28,0.692
1992,29,0.241
1992,30,-0.967
1992,31,3.064
1992,32,-1.256
1992,33,0.246
1992,34,-1.205
1992,35,-0.002
1992,36,0.54
1992,37,0.599
1992,38,0.798
1992,39,-2.029
1992,40,-0.936
1992,41,-1.903
1992,42,2.253
1992,43,0.576
1992,44,1.106
1992,45,-0.263
1992,46,1.161
1992,47,0.999
1992,48,0.823
1992,49,0.442
1992,50,0.387
1992,51,1.741
1992,52,-0.342
1993,1,-0.923
1993,2,-1.529
1993,3,1.888
1993,4,-0.238
1993,5,0.612
1993,6,2.313
1993,7,-0.969
1993,8,-2.33
1993,9,2.11
1993,10,0.616
1993,11,0.834
1993,12,0.078
1993,13,-0.533
1993,14,-1.427
1993,15,0.102
1993,16,1.607
1993,17,-2.653
1993,18,0.723
1993,19,0.482
1993,20,-0.622
1993,21,1.429
1993,22,0.976
1993,23,-0.029
1993,24,-0.622
1993,25,-0.8
1993,26,0.884
1993,27,-0.393
1993,28,0.509
1993,29,-0.527
1993,30,0.303
1993,31,0.23
1993,32,0.123
1993,33,0.325
1993,34,1.337
1993,35,0.96
1993,36,0.174
1993,37,0.082
1993,38,-0.626
1993,39,-0.262
1993,40,0.798
1993,41,-0.21
1993,42,1.996
1993,43,-1.327
1993,44,0.984
1993,45,-1.766
1993,46,1.266
1993,47,-0.599
1993,48,0.099
1993,49,0.395
1993,50,-0.207
1993,51,0.528
1993,52,0.214
1994,1,-0.199
1994,2,0.74
1994,3,1.066
1994,4,-0.04
1994,5,0.838
1994,6,-1.857
1994,7,0.079
1994,8,-0.53
1994,9,-0.346
1994,10,-0.285
1994,11,0.366
1994,12,0.99
1994,13,-2.225
1994,14,-3.216
1994,15,0.298
1994,16,-0.206
1994,17,0.325
1994,18,0.733
1994,19,-0.685
1994,20,-0.822
1994,21,2.427
1994,22,0.53
1994,23,0.612
1994,24,-0.317
1994,25,-0.048
1994,26,-3.414
1994,27,0.768
1994,28,0.751
1994,29,1.025
1994,30,-0.231
1994,31,1.137
1994,32,-0.255
1994,33,1.061
1994,34,0.377
1994,35,2.183
1994,36,-0.593
1994,37,-0.597
1994,38,0.643
1994,39,-2.445
1994,40,0.661
1994,41,-1.645
1994,42,3.076
1994,43,-0.897
1994,44,1.91
1994,45,-2.425
1994,46,0.015
1994,47,-0.19
1994,48,-1.989
1994,49,0.223
1994,50,-1.399
1994,51,2.649
1994,52,0.224
1995,1,-0.122
1995,2,0.307
1995,3,1.148
1995,4,-0.255
1995,5,1.207
1995,6,1.756
1995,7,0.587
1995,8,0.106
1995,9,1.274
1995,10,-0.551
1995,11,0.855
1995,12,1.215
1995,13,1.1
1995,14,-0.052
1995,15,1.14
1995,16,0.555
1995,17,-0.145
1995,18,1.223
1995,19,1.051
1995,20,1.044
1995,21,-1.21
1995,22,0.859
1995,23,1.692
1995,24,-0.858
1995,25,2.252
1995,26,1.83
1995,27,-0.902
1995,28,2.133
1995,29,0.633
1995,30,-1.12
1995,31,1.682
1995,32,-0.709
1995,33,-0.685
1995,34,0.739
1995,35,0.159
1995,36,0.668
1995,37,1.568
1995,38,1.863
1995,39,-0.278
1995,40,0.461
1995,41,-0.329
1995,42,0.345
1995,43,0.506
1995,44,-1.321
1995,45,1.875
1995,46,0.364
1995,47,1.24
1995,48,-0.017
1995,49,1.168
1995,50,1.73
1995,51,-0.185
1995,52,-0.712
1996,1,0.65
1996,2,0.127
1996,3,-2.416
1996,4,1.665
1996,5,1.6
1996,6,2.288
1996,7,3.229
1996,8,-1.278
1996,9,1.713
1996,10,-2.232
1996,11,-1.687
1996,12,1.252
1996,13,1.433
1996,14,-0.787
1996,15,1.605
1996,16,-2.92
1996,17,1.313
1996,18,1.301
1996,19,-1.81
1996,20,1.63
1996,21,2.579
1996,22,1.435
1996,23,-1.384
1996,24,0.626
1996,25,-1.108
1996,26,0.149
1996,27,0.568
1996,28,-1.967
1996,29,-1.711
1996,30,-1.154
1996,31,-0.443
1996,32,4.181
1996,33,-0.059
1996,34,0.47
1996,35,0.274
1996,36,-2.255
1996,37,0.566
1996,38,3.791
1996,39,0.954
1996,40,-0.122
1996,41,2.225
1996,42,-0.114
1996,43,1.45
1996,44,-1.393
1996,45,0.407
1996,46,3.844
1996,47,0.93
1996,48,1.506
1996,49,1.107
1996,50,-2.301
1996,51,-1.482
1996,52,2.776
1997,1,1.058
1997,2,-1.158
1997,3,1.533
1997,4,2.195
1997,5,-0.728
1997,6,2.03
1997,7,0.432
1997,8,2.396
1997,9,-0.83
1997,10,-1.366
1997,11,1.789
1997,12,-1.466
1997,13,-1.144
1997,14,-1.303
1997,15,-2.065
1997,16,-2.672
1997,17,3.889
1997,18,-0.127
1997,19,6.219
1997,20,1.453
1997,21,0.603
1997,22,2.083
1997,23,0.148
1997,24,1.147
1997,25,4.11
1997,26,0.608
1997,27,-1.268
1997,28,3.338
1997,29,-0.026
1997,30,-0.151
1997,31,2.566
1997,32,0.889
1997,33,-1.436
1997,34,-3.506
1997,35,2.523
1997,36,-2.606
1997,37,3.289
1997,38,-0.553
1997,39,2.879
1997,40,-0.557
1997,41,2.096
1997,42,0.202
1997,43,-2.36
1997,44,-0.267
1997,45,-2.869
1997,46,1.409
1997,47,0.091
1997,48,3.742
1997,49,-0.798
1997,50,2.972
1997,51,-3.09
1997,52,-0.693
